Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
pagina_54 <-> pagina_97                              7
pagina_55 <-> pagina_63                              7
pagina_56 <-> pagina_93                              7
pagina_56 <-> pagina_95                              7
pagina_56 <-> pagina_97                              7
pagina_57 <-> pagina_88                              7
pagina_57 <-> pagina_90                              7
pagina_57 <-> pagina_97                              7
pagina_58 <-> pagina_95                              7
pagina_59 <-> pagina_62                              7
pagina_59 <-> pagina_63                              7
pagina_59 <-> pagina_87                              7
pagina_59 <-> pagina_97                              7
pagina_60 <-> pagina_86                              7
pagina_60 <-> pagina_87                              7
pagina_60 <-> pagina_91                              7
pagina_60 <-> pagina_98                              7
pagina_61 <-> pagina_64                              7
pagina_61 <-> pagina_91                              7
pagina_61 <-> pagina_92                              7
pagina_61 <-> pagina_95                              7
pagina_62 <-> pagina_88                              7
pagina_63 <-> pagina_67                              7
pagina_63 <-> pagina_72                              7
pagina_63 <-> pagina_91                              7
pagina_63 <-> pagina_92                              7
pagina_63 <-> pagina_93                              7
pagina_64 <-> pagina_65                              7
pagina_64 <-> pagina_66                              7
pagina_64 <-> pagina_68                              7
pagina_64 <-> pagina_90                              7
pagina_65 <-> pagina_88                              7
pagina_66 <-> pagina_94                              7
pagina_67 <-> pagina_71                              7
pagina_67 <-> pagina_75                              7
pagina_67 <-> pagina_78                              7
pagina_67 <-> pagina_86                              7
pagina_67 <-> pagina_90                              7
pagina_68 <-> pagina_84                              7
pagina_68 <-> pagina_87                              7
pagina_68 <-> pagina_93                              7
pagina_69 <-> pagina_84                              7
pagina_70 <-> pagina_78                              7
pagina_70 <-> pagina_83                              7
pagina_70 <-> pagina_86                              7
pagina_70 <-> pagina_87                              7
pagina_70 <-> pagina_89                              7
pagina_70 <-> pagina_91                              7
pagina_70 <-> pagina_97                              7
pagina_71 <-> pagina_82                              7
pagina_71 <-> pagina_83                              7
pagina_71 <-> pagina_88                              7
pagina_71 <-> pagina_89                              7
pagina_71 <-> pagina_92                              7
pagina_71 <-> pagina_93                              7
pagina_71 <-> pagina_94                              7
pagina_71 <-> pagina_95                              7
pagina_72 <-> pagina_84                              7
pagina_73 <-> pagina_83                              7
pagina_73 <-> pagina_95                              7
pagina_73 <-> pagina_97                              7
pagina_74 <-> pagina_81                              7
pagina_75 <-> pagina_80                              7
pagina_75 <-> pagina_81                              7
pagina_81 <-> pagina_89                              7
pagina_100 <-> pagina_53                              6
pagina_100 <-> pagina_54                              6
pagina_100 <-> pagina_56                              6
pagina_100 <-> pagina_64                              6
pagina_22 <-> pagina_24                              6
pagina_23 <-> pagina_26                              6
pagina_26 <-> pagina_28                              6
pagina_28 <-> pagina_31                              6
pagina_29 <-> pagina_32                              6
pagina_32 <-> pagina_34                              6
pagina_36 <-> pagina_37                              6
pagina_39 <-> pagina_96                              6
pagina_41 <-> pagina_98                              6
pagina_43 <-> pagina_99                              6
pagina_44 <-> pagina_49                              6
pagina_44 <-> pagina_97                              6
pagina_45 <-> pagina_97                              6
